sep=,
Date,Category,Device,Clicks,Cost,Sales,"Order value","Tracked leads","Cost of tracked leads"
23/09/21,"Fahrradteile & Fahrradzubehör",Mobile,1,0.375,0,0.0,1,0.375
27/09/21,Damenmode,Computer,2,0.5,0,0.0,2,0.5
27/09/21,Damenunterwäsche,Computer,1,0.25,0,0.0,1,0.25
27/09/21,"Sportbekleidung Damen",Computer,21,5.670000000000001,0,0.0,21,5.670000000000001
27/09/21,"Sportbekleidung Damen",Mobile,5,1.0125000000000002,0,0.0,5,1.0125000000000002
27/09/21,"Sportbekleidung Herren",Computer,53,14.309999999999988,0,0.0,53,14.309999999999988
27/09/21,"Sportbekleidung Herren",Mobile,6,1.2150000000000003,0,0.0,6,1.2150000000000003
27/09/21,"Fahrradteile & Fahrradzubehör",Computer,52,26.0,1,184.88,52,26.0
27/09/21,"Fahrradteile & Fahrradzubehör",Mobile,5,1.875,0,0.0,5,1.875
27/09/21,"Sportschuhe Herren",Mobile,1,0.1875,0,0.0,1,0.1875
28/09/21,Herrenmode,Computer,2,0.5,0,0.0,2,0.5
28/09/21,Damenmode,Computer,3,0.75,0,0.0,3,0.75
28/09/21,Damenmode,Mobile,1,0.1875,0,0.0,1,0.1875
28/09/21,Sonnenbrillen,Mobile,1,0.1875,0,0.0,1,0.1875
28/09/21,"Sportbekleidung Damen",Computer,12,3.24,0,0.0,12,3.24
28/09/21,"Sportbekleidung Damen",Mobile,2,0.405,0,0.0,2,0.405
28/09/21,"Sportbekleidung Herren",Computer,56,15.11999999999999,0,0.0,56,15.11999999999999
28/09/21,"Sportbekleidung Herren",Mobile,9,1.8225000000000007,0,0.0,9,1.8225000000000007
28/09/21,"Fahrradteile & Fahrradzubehör",Computer,43,21.5,0,0.0,43,21.5
28/09/21,"Fahrradteile & Fahrradzubehör",Mobile,24,9.0,0,0.0,24,9.0
28/09/21,"Sportschuhe Herren",Mobile,1,0.1875,0,0.0,1,0.1875
29/09/21,Herrenmode,Computer,4,1.0,0,0.0,4,1.0
29/09/21,Damenmode,Computer,2,0.5,0,0.0,2,0.5
29/09/21,Damenmode,Mobile,3,0.5625,0,0.0,3,0.5625
29/09/21,"Sportbekleidung Damen",Computer,17,4.59,0,0.0,17,4.59
29/09/21,"Sportbekleidung Damen",Mobile,2,0.405,0,0.0,2,0.405
29/09/21,"Sportbekleidung Herren",Computer,33,8.909999999999995,0,0.0,33,8.909999999999995
29/09/21,"Sportbekleidung Herren",Mobile,11,2.2275000000000005,0,0.0,11,2.2275000000000005
29/09/21,"Fahrradteile & Fahrradzubehör",Computer,44,22.0,0,0.0,44,22.0
29/09/21,"Fahrradteile & Fahrradzubehör",Mobile,9,3.375,0,0.0,9,3.375
30/09/21,Herrenmode,Mobile,1,0.1875,0,0.0,1,0.1875
30/09/21,Damenmode,Computer,1,0.25,1,109.24,1,0.25
30/09/21,"Sportbekleidung Damen",Computer,21,5.67,0,0.0,21,5.67
30/09/21,"Sportbekleidung Damen",Mobile,3,0.6075,0,0.0,3,0.6075
30/09/21,"Sportbekleidung Herren",Computer,47,12.689999999999998,0,0.0,47,12.689999999999998
30/09/21,"Sportbekleidung Herren",Mobile,13,2.6325000000000007,1,302.52,13,2.6325000000000007
30/09/21,"Fahrradteile & Fahrradzubehör",Computer,52,26.0,0,0.0,52,26.0
30/09/21,"Fahrradteile & Fahrradzubehör",Mobile,6,2.25,0,0.0,6,2.25
13/09/21,"Sportbekleidung Damen",Computer,11,2.97,0,0.0,0,0.0
13/09/21,"Sportbekleidung Damen",Mobile,2,0.405,0,0.0,0,0.0
13/09/21,"Sportbekleidung Herren",Computer,67,18.089999999999993,0,0.0,0,0.0
13/09/21,"Sportbekleidung Herren",Mobile,11,2.2275000000000005,0,0.0,0,0.0
13/09/21,"Fahrradteile & Fahrradzubehör",Computer,11,5.5,0,0.0,0,0.0
13/09/21,"Fahrradteile & Fahrradzubehör",Mobile,1,0.375,0,0.0,0,0.0
16/09/21,Herrenmode,Computer,1,0.25,0,0.0,0,0.0
16/09/21,"Sportbekleidung Damen",Computer,7,1.8900000000000001,0,0.0,0,0.0
16/09/21,"Sportbekleidung Herren",Computer,79,21.329999999999995,0,0.0,0,0.0
16/09/21,"Sportbekleidung Herren",Mobile,11,2.227500000000001,0,0.0,0,0.0
16/09/21,"Fahrradteile & Fahrradzubehör",Computer,7,3.5,0,0.0,0,0.0
17/09/21,"Sportbekleidung Damen",Computer,8,2.16,0,0.0,0,0.0
17/09/21,"Sportbekleidung Herren",Computer,70,18.899999999999988,0,0.0,0,0.0
17/09/21,"Sportbekleidung Herren",Mobile,3,0.6075,0,0.0,0,0.0
17/09/21,Taschen,Computer,1,0.25,0,0.0,0,0.0
17/09/21,"Fahrradteile & Fahrradzubehör",Computer,36,18.0,0,0.0,0,0.0
18/09/21,Damenmode,Computer,1,0.25,0,0.0,0,0.0
18/09/21,"Sportbekleidung Damen",Computer,4,1.08,0,0.0,0,0.0
18/09/21,"Sportbekleidung Damen",Mobile,1,0.2025,0,0.0,0,0.0
18/09/21,"Sportbekleidung Herren",Computer,56,15.11999999999999,0,0.0,0,0.0
18/09/21,"Sportbekleidung Herren",Mobile,12,2.4300000000000006,0,0.0,0,0.0
18/09/21,"Fahrradteile & Fahrradzubehör",Computer,39,19.5,0,0.0,0,0.0
20/09/21,Sonnenbrillen,Computer,2,0.5,0,0.0,2,0.5
20/09/21,"Sportbekleidung Damen",Computer,7,1.8900000000000001,0,0.0,7,1.8900000000000001
20/09/21,"Sportbekleidung Herren",Computer,82,22.139999999999986,0,0.0,82,22.139999999999986
20/09/21,"Sportbekleidung Herren",Mobile,14,2.8350000000000013,0,0.0,14,2.8350000000000013
20/09/21,Taschen,Computer,1,0.25,0,0.0,1,0.25
20/09/21,"Fahrradteile & Fahrradzubehör",Computer,18,9.0,0,0.0,18,9.0
20/09/21,"Fahrradteile & Fahrradzubehör",Mobile,1,0.375,0,0.0,1,0.375
24/09/21,Herrenmode,Computer,1,0.25,0,0.0,1,0.25
24/09/21,Damenmode,Mobile,1,0.1875,0,0.0,1,0.1875
24/09/21,"Sportbekleidung Damen",Computer,7,1.8900000000000001,0,0.0,7,1.8900000000000001
24/09/21,"Sportbekleidung Herren",Computer,42,11.339999999999996,0,0.0,42,11.339999999999996
24/09/21,"Sportbekleidung Herren",Mobile,11,2.2275000000000005,0,0.0,11,2.2275000000000005
24/09/21,"Fahrradteile & Fahrradzubehör",Computer,28,14.0,0,0.0,28,14.0
24/09/21,"Fahrradteile & Fahrradzubehör",Mobile,7,2.625,0,0.0,7,2.625
25/09/21,Sonnenbrillen,Computer,2,0.5,0,0.0,2,0.5
25/09/21,"Sportbekleidung Damen",Computer,9,2.43,0,0.0,9,2.43
25/09/21,"Sportbekleidung Herren",Computer,38,10.259999999999994,0,0.0,38,10.259999999999994
25/09/21,"Sportbekleidung Herren",Mobile,9,1.8225000000000007,0,0.0,9,1.8225000000000007
25/09/21,"Fahrradteile & Fahrradzubehör",Computer,47,23.5,0,0.0,47,23.5
25/09/21,"Fahrradteile & Fahrradzubehör",Mobile,3,1.125,0,0.0,3,1.125
25/09/21,"Sportschuhe Herren",Mobile,1,0.1875,0,0.0,1,0.1875
26/09/21,Damenmode,Computer,1,0.25,0,0.0,1,0.25
26/09/21,"Sportbekleidung Damen",Computer,20,5.4,0,0.0,20,5.4
26/09/21,"Sportbekleidung Damen",Mobile,2,0.405,1,121.85,2,0.405
26/09/21,"Sportbekleidung Herren",Computer,48,12.959999999999994,0,0.0,48,12.959999999999994
26/09/21,"Sportbekleidung Herren",Mobile,10,2.025000000000001,0,0.0,10,2.025000000000001
26/09/21,Taschen,Computer,1,0.25,0,0.0,1,0.25
26/09/21,"Fahrradteile & Fahrradzubehör",Computer,26,13.0,1,55.92,26,13.0
26/09/21,"Fahrradteile & Fahrradzubehör",Mobile,7,2.625,0,0.0,7,2.625
01/09/21,"Sportbekleidung Herren",Computer,6,1.62,0,0.0,0,0.0
01/09/21,"Sportbekleidung Herren",Mobile,2,0.405,0,0.0,0,0.0
01/09/21,"Fahrradteile & Fahrradzubehör",Computer,60,30.0,0,0.0,0,0.0
01/09/21,"Fahrradteile & Fahrradzubehör",Mobile,14,5.25,0,0.0,0,0.0
04/09/21,"Baby- & Kindermode",Mobile,1,0.1875,0,0.0,0,0.0
04/09/21,Sonnenbrillen,Mobile,1,0.1875,0,0.0,0,0.0
04/09/21,"Sportbekleidung Herren",Computer,8,2.16,0,0.0,0,0.0
04/09/21,"Sportbekleidung Herren",Mobile,11,2.2275000000000005,0,0.0,0,0.0
04/09/21,Taschen,Computer,2,0.5,0,0.0,0,0.0
04/09/21,Taschen,Mobile,1,0.1875,0,0.0,0,0.0
04/09/21,"Fahrradteile & Fahrradzubehör",Computer,111,55.5,0,0.0,0,0.0
04/09/21,"Fahrradteile & Fahrradzubehör",Mobile,121,45.375,0,0.0,0,0.0
05/09/21,Sonnenbrillen,Mobile,2,0.375,0,0.0,0,0.0
05/09/21,"Sportbekleidung Damen",Computer,1,0.27,0,0.0,0,0.0
05/09/21,"Sportbekleidung Damen",Mobile,1,0.2025,0,0.0,0,0.0
05/09/21,"Sportbekleidung Herren",Computer,17,4.59,0,0.0,0,0.0
05/09/21,"Sportbekleidung Herren",Mobile,17,3.4425000000000003,0,0.0,0,0.0
05/09/21,Taschen,Mobile,1,0.1875,0,0.0,0,0.0
05/09/21,"Fahrradteile & Fahrradzubehör",Computer,146,73.0,0,0.0,0,0.0
05/09/21,"Fahrradteile & Fahrradzubehör",Mobile,94,35.25,0,0.0,0,0.0
08/09/21,Damenmode,Computer,1,0.25,0,0.0,0,0.0
08/09/21,Sonnenbrillen,Mobile,1,0.1875,0,0.0,0,0.0
08/09/21,"Sportbekleidung Damen",Computer,6,1.62,0,0.0,0,0.0
08/09/21,"Sportbekleidung Damen",Mobile,2,0.405,0,0.0,0,0.0
08/09/21,"Sportbekleidung Herren",Computer,39,10.529999999999998,0,0.0,0,0.0
08/09/21,"Sportbekleidung Herren",Mobile,6,1.2150000000000003,0,0.0,0,0.0
08/09/21,"Fahrradteile & Fahrradzubehör",Computer,3,1.5,0,0.0,0,0.0
10/09/21,"Sportbekleidung Damen",Computer,6,1.62,0,0.0,0,0.0
10/09/21,"Sportbekleidung Damen",Mobile,1,0.2025,0,0.0,0,0.0
10/09/21,"Sportbekleidung Herren",Computer,50,13.499999999999993,0,0.0,0,0.0
10/09/21,"Sportbekleidung Herren",Mobile,8,1.6200000000000006,0,0.0,0,0.0
10/09/21,"Fahrradteile & Fahrradzubehör",Computer,9,4.5,0,0.0,0,0.0
11/09/21,"Sportbekleidung Damen",Computer,11,2.97,0,0.0,0,0.0
11/09/21,"Sportbekleidung Damen",Mobile,2,0.405,0,0.0,0,0.0
11/09/21,"Sportbekleidung Herren",Computer,41,11.069999999999997,0,0.0,0,0.0
11/09/21,"Sportbekleidung Herren",Mobile,4,0.81,0,0.0,0,0.0
11/09/21,"Fahrradteile & Fahrradzubehör",Computer,7,3.5,0,0.0,0,0.0
01/08/21,Sonnenbrillen,Computer,1,0.25,0,0.0,0,0.0
01/08/21,"Sportbekleidung Herren",Computer,2,0.54,0,0.0,0,0.0
01/08/21,"Sportbekleidung Herren",Mobile,7,1.4175000000000004,0,0.0,0,0.0
01/08/21,"Fahrradteile & Fahrradzubehör",Computer,51,25.5,0,0.0,0,0.0
01/08/21,"Fahrradteile & Fahrradzubehör",Mobile,36,13.5,0,0.0,0,0.0
01/08/21,Rucksäcke,Computer,3,1.5,0,0.0,0,0.0
01/08/21,Rucksäcke,Mobile,5,1.875,0,0.0,0,0.0
