Product Category (Enhanced E-commerce),Transaction ID,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Basket-to-Detail Rate,Buy-to-Detail Rate
Herren/Schuhe/Schnürer,DE01345110,779.85,3,3,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01361342,779.85,3,3,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01361917,779.85,3,3,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01365120,779.85,3,3,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349985,779.8,3,3,259.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01343240,779.7,3,3,259.9,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01336042,769.85,3,3,256.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01338468,769.85,3,3,256.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01341384,769.85,3,3,256.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344985,769.85,3,3,256.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01345123,769.85,3,3,256.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347414,769.85,3,3,256.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349787,769.85,3,3,256.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01361474,769.85,3,3,256.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01363368,769.85,3,3,256.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01369058,769.85,3,3,256.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01346356,769.8,3,3,256.6,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01334232,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01337487,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01340012,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01346467,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349306,759.85,3,3,253.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350838,759.85,3,3,253.28,1,0,0.00%,0.00%
